id	quotes	is_favourite	reference	category_id	active	Version		Category Name																	
1	Islam is not about 'we’re better than you'. Rather it is about 'let me show you something that is better for you'		Noman Ali khan	1		1.0.6		Inspirational																	
2	Do not lose hope, nor be sad.		Quran 3:139	1		1.0.6		Grateful																	
3	Allah is with those who have patience		Quran 2:153	3		1.0.6		Patience																	
4	I should be grateful for the tough times because Allah chose me, thought I was good enough to go through it.		Nouman Ali Khan	2		1.0.6		Life																	
5	Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.		Rumi	4		1.0.6		Jumma																	
6	A busy life makes prayer harder, but prayer makes a busy life easier.		Anonymous	4		1.0.6		Knowledge& Education																	
7	The Prophet (SAW) said: "There are two blessings that many people are deceived into losing: health and free time.		Sahih al-Bukhari 6412	4		1.0.6																			
8	Self-restraint in speech, food, entertainment and vanity are the most essential fundamental of spiritual growth.		Nouman Ali Khan	1		1.0.6																			
9	Your sin is not greater than Allah’s mercy.		Nouman Ali Khan	4		1.0.6																			
10	A sincere call to the Almighty can change what you may have thought was impossible to change. Never lose hope.		Mufti Ismail Menk	1		1.0.6																			
11	The life of this world is merely enjoyment of delusion.		Quran 3:185	4		1.0.6																			
12	Allah does not lay a responsibility on anyone beyond his capacity		Quran 2:286	3		1.0.6																			
13	Do not lose heart or despair- if you are true believers you have the upper hand		Quran 3:139	1		1.0.6																			
14	Indeed, there is ease with hardship.		Quran 94:5	3		1.0.6																			
15	Whether you speak in secrecy or aloud, (it is all the same to Allah). He even knows the secrets that lie hidden in the heart of people.		Quran 67:13	4		1.0.6																			
16	The bravest heart is the one that stays close to Allah, even, when it’s in pain.		Anonymous	3		1.0.6																			
17	The Prophet (SAW) said: There are two blessings which many people lose: (They are) health and free time for doing good.		Sahih Bukhari	4		1.0.6																			
18	Suffering is a gift. In it is hidden mercy.		Rumi	3		1.0.6																			
19	Allah's Messenger (ﷺ) said The best among you are those who have the best manners and character.		Sahih al-Bukhari 6029	1		1.0.6																			
20	No matter what your physical appearance, when you have kindness in your heart, You’re the most beautiful person in the world		Mufti Ismail Menk	1		1.0.6																			
21	Taking pains to remove the pains of others is the true essence of generosity.		Abu Bakr (R.A)	3		1.0.6																			
22	When was the last time you read the Quran? If you want to change, start with the book of Allah.		Anonymous	1		1.0.6																			
23	Never underestimate the power of Dua (supplication).		Anonymous	3		1.0.6																			
24	Patience is the healthiest ingredient of our life.		Anonymous	3		1.0.6																			
25	The best attribute a believer can have is forgiveness.		Anonymous	4		1.0.6																			
26	Knowledge exists potentially in the human soul like the seed in the soil; by learning the potential becomes actual.		Imam Al-Ghazali	4		1.0.6																			
27	What has he found who has lost Allah? And what has he lost who has found Allah?		Anonymous	1		1.0.6																			
28	Worldly life is short, so turn to Allah before you return to Allah.		Anonymous	4		1.0.6																			
29	Indeed, Allah will not change the condition of a people until they change what is in themselves.		Anonymous	4		1.0.6																			
30	And that each person will only have what they endeavoured towards		Quran 53:39	3		1.0.6																			
31	Then which of your Lord’s favours will you ˹humans and jinn˺ both deny?		Surah ar Rahman	2		1.0.6																			
32	Allah makes the impossible possible 		Anonymous	1		1.0.6																			
33	It is difficult to be patient but to waste the rewards of patience is worse.		Anonymous	3		1.0.6																			
34	Patience is a pillar of faith.		Anonymous	3		1.0.6																			
35	Stick to the Truth, even if the Truth kills you		Anonymous	1		1.0.6																			
36	A moment of patience in the moment of anger prevents thousands of moments of regret		Anonymous	3		1.0.6																			
37	My sin had burdened me heavily. But when I measured it against Your Grace, O Lord! Your Forgiveness came out greater.		Anonymous	1		1.0.6																			
38	Do not love the one who doesn’t love Allah. If they can leave Allah, they will leave you.		Anonymous	4		1.0.6																			
39	How can you not make time for the one who created time		Anonymous	2		1.0.6																			
40	Don’t depend too much on anyone in this world because even your own shadow leaves you when you are in the dark!		Anonymous	4		1.0.6																			
41	Is the reward of goodness anything but goodness		Quran 55:60	1		1.0.6																			
42	Sins take you away from Allah, Salah takes you back to Allah		Anonymous	1		1.0.6																			
43	The prophet Muhammad Peace be upon Said: if people knew about the reward for the isha and fajar prayer, they would come (to the mosques) even if they had to crawl.		Sunan Ibn Majah 796	4		1.0.6																			
44	We are all born with spiritual wings, Islam simply reminds us how to fly.		Anonymous	4		1.0.6																			
45	Maybe you are searching among the branches for what only appears in the roots.		Rumi	4		1.0.6																			
46	When setting out on a journey, do not seek advice from those who have never left home.		Rumi	4		1.0.6																			
47	How is someone going to love you, when they don’t even love the one what created you?		Anonymous	4		1.0.6																			
48	Peaceful is the one who is not concerned with having more or less.		Rumi	4		1.0.6																			
49	Once you conquer your selfish self, all your darkness will change to light.		Rumi	4		1.0.6																			
50	Prayer is an amazing exchange. you hand over your worries to Allah and Allah hands over his blessings to you		Anonymous	1		1.0.6																			
51	Imagine sleeping without praying isha and waking up in your grave.		Anonymous	4		1.0.6																			
52	Allah has time to listen: Do you have time to Pray?		Anonymous	1		1.0.6																			
53	The dua made at Tahajjud is like an Arrow which does not miss its target		Imam Shafie	1		1.0.6																			
54	Sometimes, All it takes is just one prayer to change everything.		Anonymous	1		1.0.6																			
55	The beauty of Fajr, is knowing that Allah (S.W.T) chose you to be amongst those who worship him While the rest of the world sleeps.		Anonymous	1		1.0.6																			
56	You don’t live on earth, you are passing through.		Anonymous	4		1.0.6																			
57	So What if this life isn’t perfect? it’s not Jannah.		Nouman Ali Khan	4		1.0.6																			
58	Born from different mothers skins of all colors come together as brothers. that’s the beauty of Islam.		Anonymous	1		1.0.6																			
59	Be Patient — For what was written for you was written by the greatest of writers.		Anonymous	3		1.0.6																			
60	The more i see of the world the more i silently whisper, “Alhamdulillah for Islam”		Anonymous	4		1.0.6																			
61	Take every day as a chance to become a better Muslim.		Anonymous	4		1.0.6																			
62	Trust Allah when things don’t work out the way you wanted. Allah has something better planned for you.		Anonymous	4		1.0.6																			
63	O you who believe! seek help through patience and prayers indeed, Allah is with the patient		Quran 2:153	3		1.0.6																			
64	Over 151,000 people die in this world every day, I thank Allah for still giving me some more time to fix my Akhirah		Anonymous	2		1.0.6																			
65	There’s no need to be popular & win the approval of others. The Almighty did not create you for this purpose. Stay true to yourself.		Mufti ismail menk	4		1.0.6																			
66	You can search the world for happiness but you won’t find it until you start being content with what the Almighty has already given you.		Mufti ismail menk	1		1.0.6																			
67	If you want peace to prevail in your heart, remove anger, resentment, blame and worry		Mufti ismail menk	4		1.0.6																			
68	When a matter has been resolved, we should not keep bringing up the past.		Mufti ismail menk	4		1.0.6																			
69	A negative mind will interpret the most positive messages negatively but a positive mind extracts the best, even from a negative message.		Mufti ismail menk	4		1.0.6																			
70	What you desire is what you want, what you have is what Allah wants.		Nouman Ali Khan	1		1.0.6																			
71	We live in a society where we wake up our kids for schools but not for Fajr.		Nouman Ali Khan	4		1.0.6																			
72	Forgiving someone isn't just about doing good to another. It's also about healing a scar in your own heart.		Nouman Ali Khan	3		1.0.6																			
73	Be like a diamond, precious and rare, not like a stone, found everywhere.		Anonymous	4		1.0.6																			
74	The heart that beats for Allah is always a stranger among the hearts that beat for the Dunya (world).		Anonymous	2		1.0.6																			
75	And when I am sick it is Allah who cures me		Anonymous	3		1.0.6																			
76	Allah is with you wherever you are		Anonymous	4		1.0.6																			
77	Allah is never late he is just testing your faith and patience		Anonymous	3		1.0.6																			
78	seek help through patience and prayer indeed Allah is with the patient		Anonymous	3		1.0.6																			
79	when things are too hard to handle Retreat and count your blessings instead		Anonymous	3		1.0.6																			
80	Allah can change the most hopeless situation into the best moment in your life		Anonymous	3		1.0.6																			
81	Do not carry the anxiety for the future because it is in the hand of Allah.		Anonymous	4		1.0.6																			
82	Allah knows what is best for you.		Anonymous	4		1.0.6																			
83	Nobody knows your pain and suffering more than the Almighty. The truth is nobody really cares as much as HIM. HE is All Knowing and Most Wise		Mufti ismail menk	4		1.0.6																			
84	The road of Allah (God) is long, and we proceed on it as slowly as a turtle. The purpose is not to get to the end of the road, but rather to die on it.		Al-Albani	1		1.0.6																			
85	What more awful than committing sin is when God deprives you of the grace of feeling its bitterness.		Anonymous	4		1.0.6																			
